level, statement, correct, option1, option2, option3
1,The sun is,hot,cold,small,nearby
1,Colombia is in,South America,Africa,Canada,Europe
1,The human being lives on,earth,mercury,mars,proxima centaury
1,This program is being ran on,a PC,a potato,a printer,a water bottle
1,Water is,wet,dry,non-existant,denser than lead
2,Which of the following is more dense,water,ice,air,hydrogen
2,Which continent is larger,Asia,Africa,Europe,Oceania
2,The capital of USA,Washington DC,New York,Los Angeles,Boston
2,Most populated city in Colombia,Bogota,Medellin,Cali,Pereira
2,Recomended hours of sleep,8,6,9,2
3,Largest Planet on the solar system,Jupiter,Uranus,Mercury,Pluto
3,Largest Animal on earth,blue whale,megalodon,kraken,elephant
3,Heaviest element in the periodic table,Oganesson,Radon,Polonium,Mercury
3,Number of electrons on a Higrogen Atom,1,2,3,4
3,Which element is the better conductor,Silver,Copper,Gold,Alluminum
4,Fastest type of transistor,BJT,MOSFET,BOBAFET,JANGOFET
4,Most used OS in the world,Windows,Linux,MacOS,ChromeOS
4,Which programming language is only compatible with Apple OS,Swift,GO,Ruby on Rails,Fortran
4,Which of the following languages is not object-oriented,Haskell,C++,Java,Python
4,Which of the following ports is used for SSH,22,88,69,13
5,Which of the following is a routing  Protocol,EIGRP,IPV6,Spaning Tree,ALOHA
5,Which of the following is NOT a media access control method,CSMA/AD,CSMA/CD,ALOHA,CSM ALOHA
5,What is faster than light,Expansion of space-time,photons,nothing,antiphotons
5,What training methodology did Dorian Yates (famous bodybuilder) used,HIT,LISS,Bro split,High Volume training
5,Hottest temperature ever recorded on earth,2 billion Kelvin,2.3 Billion Kelvin,1.6 billion Kelvin,1.9 billion Kelvin
